('f', 'd', 'c', (1, 0, 0, 2, -1, -1))
('a', 'b', 'c', (1, 0, 0, -2, 5, 3))
('a', 'a', 'b', (0, 0, 0, 1, 1, 0))
('a', 'b', 'c', (1, 0, 0, -1, 5, 3))
('e', 'f', 'f', (-2, 0, 0, 2, 0, -4))
('e', 'f', 'f', (2, 0, 0, 0, 0, 0))
('c', 'b', 'f', (0, 0, 0, 1, 4, 1))
('b', 'f', 'e', (1, 0, 0, 4, 0, 2))
('b', 'f', 'd', (1, 0, 0, -2, 1, 2))
('a', 'a', 'e', (-1, 0, 0, -4, 0, 0))
('b', 'f', 'd', (1, 0, 0, -1, 1, 2))
('e', 'd', 'a', (0, 0, 0, -2, -3, 0))
('e', 'd', 'a', (0, 0, 0, -1, -3, 0))
('d', 'f', 'c', (1, 0, 0, 3, 2, 2))
('d', 'd', 'b', (0, 0, 0, -4, 3, 0))
('f', 'c', 'd', (1, 0, 0, 0, -2, 0))
('f', 'c', 'd', (1, 0, 0, 0, -1, 0))
('d', 'f', 'e', (-1, 0, 0, 3, -3, 0))
('f', 'd', 'd', (1, 0, 0, 2, 1, 1))
('d', 'd', 'b', (0, 0, 0, -4, -3, 1))
('a', 'f', 'a', (-1, 0, 0, 2, 1, -2))
('a', 'f', 'a', (-1, 0, 0, 2, 1, -1))
('d', 'a', 'f', (-2, 0, 0, 2, -6, -3))
('f', 'f', 'e', (2, 0, 0, -3, 6, 4))
('a', 'f', 'd', (-1, 0, 0, 3, 0, 0))
('b', 'd', 'd', (0, 0, 0, 3, -4, 0))
('d', 'd', 'b', (0, 0, 0, -3, -4, 2))
('f', 'f', 'a', (-1, 0, 0, -2, 3, 0))
('c', 'd', 'a', (-1, 0, 0, 2, 1, 1))
('e', 'a', 'e', (0, 0, 0, 3, 2, -2))
('e', 'a', 'e', (0, 0, 0, 3, 2, -1))
('f', 'f', 'a', (-1, 0, 0, -1, 3, 0))
('f', 'f', 'd', (1, 0, 0, 1, 0, 0))
('e', 'e', 'e', (0, 0, 0, 3, -4, 0))
('e', 'f', 'c', (2, 0, 0, 1, 2, 1))
('c', 'c', 'a', (0, 0, 0, 3, 3, 0))
('b', 'b', 'd', (0, 0, 0, 1, 1, 0))
('d', 'b', 'f', (-1, 0, 0, 1, -2, -2))
('d', 'b', 'f', (-1, 0, 0, 1, -2, -1))
('d', 'b', 'f', (-1, 0, 0, 1, -1, -2))
('d', 'b', 'f', (-1, 0, 0, 1, -1, -1))
('e', 'a', 'a', (-1, 0, 0, 0, 3, -2))
('e', 'a', 'a', (-1, 0, 0, 0, 3, -1))
('f', 'd', 'a', (0, 0, 0, -3, -4, 1))
('f', 'c', 'd', (0, 0, 0, 3, 4, -2))
('f', 'c', 'd', (0, 0, 0, 3, 4, -1))
('a', 'f', 'c', (-1, 0, 0, 2, 0, 1))
('c', 'c', 'e', (0, 0, 0, 0, 2, 2))
('c', 'c', 'f', (0, 0, 0, 2, 4, 0))
('c', 'c', 'a', (0, 0, 0, 1, 0, -2))
('a', 'a', 'd', (0, 0, 0, 1, 2, 0))
('c', 'c', 'a', (0, 0, 0, 1, 0, -1))
