h,profile,B,deleted_edge_count,q_v,q_v_ratio,lambda_old,lambda_v,a_old,a_v,delta_a,C_old,C_v,delta_C,rho_a,rho_C,structural_status
5,3,2,0,4.666666666666667,54,0.011596867672894924,0.17588115345865873,2.066634965729246,2.0440593000210847,0.16141549119846604,0.1581637472075672,-0.0032517439908988366,0.569264749961239,0.5809684637553216,0.011703713794082637,-0.2803984733307821,1.0092133603832907,ONE_SCC
5,4,1,0,8.666666666666666,72,0.013275994262860191,0.2013472301421459,2.066634965729246,2.0400153328077426,0.16141549119846604,0.13650194394106802,-0.024913547257398028,0.569264749961239,0.6731636677396786,0.10389891777843963,-1.876586172313593,7.826074320406911,MULTI_SCC
6,2,2,2,0,66,0.004192537577860863,0.0733475707406305,1.9441605457401225,1.9363843241257102,0.12003103108098731,0.12204540755701601,0.002014376476028701,0.7655366150688699,0.7529013264512876,-0.012635288617582341,0.4804671248901449,-3.013756795956777,MULTI_SCC
6,3,2,1,2,588,0.03645238578151532,0.6377268885777366,1.9441605457401225,1.8850465727964214,0.12003103108098731,0.11876912404420728,-0.00126190703678003,0.7655366150688699,0.7736703455248478,0.008133730455977872,-0.03461795462013166,0.2231330071158858,MULTI_SCC
6,3,3,0,6,114,0.008920607943025132,0.15606417593144362,1.9441605457401225,1.926115781429637,0.12003103108098731,0.11446424842960551,-0.005566782651381802,0.7655366150688699,0.8027672439004021,0.037230628831532164,-0.6240362413566636,4.173552864257659,MULTI_SCC
6,4,1,1,6,132,0.005360815231696585,0.09378634469746043,1.9441605457401225,1.9345925094117824,0.12003103108098731,0.1095501579419506,-0.010480873139036714,0.7655366150688699,0.8387769672194891,0.07324035215061919,-1.9550894194351367,13.662166850589283,MULTI_SCC
6,5,1,0,14,36,0.00223352305021854,0.03907502005272902,1.9441605457401225,1.9403451789703428,0.12003103108098731,0.1095402646249131,-0.010490766456074205,0.7655366150688699,0.8388527228011363,0.07331610773226638,-4.696959118038979,32.82531949920675,MULTI_SCC
7,3,2,2,0.6666666666666667,834,0.014342619087775722,0.33520127372994435,1.8483339781842052,1.8237815869820384,0.09219600322756742,0.09796302016732807,0.005767016939760644,0.9966608748771659,0.9379881212320079,-0.058672753645158005,0.40208952803298653,-4.0907977326934,MULTI_SCC
7,3,3,1,2.6666666666666665,828,0.01550808352449269,0.362439336825927,1.8483339781842052,1.8194201279810518,0.09219600322756742,0.08857519690622576,-0.003620806321341666,0.9966608748771659,1.0374027091833282,0.040741834306162295,-0.23347864458062442,2.627135341502171,MULTI_SCC
7,4,2,1,4.666666666666666,480,0.009581111732807427,0.22392011088987407,1.8483339781842052,1.8301093539506215,0.09219600322756742,0.08276027319695277,-0.009435730030614653,0.9966608748771659,1.1102929665093066,0.11363209163214072,-0.9848262178495465,11.860011113641882,MULTI_SCC
7,4,3,0,8.666666666666668,120,0.003067199334752545,0.07168349919220612,1.8483339781842052,1.8425689844354989,0.09219600322756742,0.08812477068316366,-0.004071232544403766,0.9966608748771659,1.0427051159920997,0.04604424111493377,-1.3273452749794052,15.011818955890755,MULTI_SCC
